station,rmse,mae,r2,samples
AlKras,8.509024401804057,6.384411359282108,0.806292804963277,15143.0
Bujaka,7.817522225564476,5.949331626573611,0.7842659205874749,15144.0
Bulwar,7.863584359036293,5.856668261865234,0.7908733574870842,15144.0
OsPias,6.67159858424426,5.086018154388203,0.7930439015528526,15144.0
Wadow,6.4755650467412025,4.879934684660237,0.7784140755278813,15144.0
ZloRog,6.7107645818678145,5.107233089897241,0.8287110803110646,15144.0
