iter	Passed	Remaining
238	3609	11492
239	3623	11475
240	3638	11458
241	3652	11439
242	3666	11422
243	3682	11408
244	3697	11394
245	3711	11375
246	3726	11360
247	3740	11341
248	3754	11324
249	3769	11309
250	3785	11297
251	3800	11280
252	3816	11268
253	3830	11248
254	3844	11230
255	3858	11214
256	3872	11196
257	3886	11177
258	3902	11163
259	3918	11153
260	3936	11145
261	3952	11133
262	3967	11119
263	3981	11100
264	3999	11093
265	4016	11082
266	4032	11070
267	4048	11057
268	4065	11047
269	4080	11032
270	4096	11018
271	4110	11000
272	4127	10990
273	4142	10975
274	4156	10957
275	4170	10938
276	4184	10922
277	4197	10902
278	4210	10881
279	4224	10862
280	4238	10844
281	4252	10827
282	4266	10809
283	4282	10795
284	4297	10781
285	4311	10762
286	4326	10749
287	4340	10730
288	4353	10711
289	4369	10698
290	4383	10680
291	4398	10664
292	4412	10647
293	4428	10635
294	4442	10615
295	4457	10601
296	4472	10585
297	4487	10570
298	4502	10555
299	4516	10538
300	4531	10524
301	4548	10513
302	4569	10511
303	4586	10500
304	4600	10483
305	4616	10471
306	4632	10457
307	4649	10446
308	4665	10433
309	4680	10418
310	4695	10401
311	4711	10389
312	4725	10372
313	4739	10354
314	4753	10337
315	4766	10317
316	4780	10299
317	4794	10283
318	4808	10265
319	4822	10248
320	4837	10232
321	4851	10214
322	4866	10199
323	4880	10182
324	4894	10166
325	4910	10151
326	4923	10133
327	4939	10119
328	4954	10103
329	4968	10086
330	4981	10067
331	4994	10049
332	5008	10032
333	5024	10018
334	5040	10005
335	5058	9995
336	5073	9981
337	5089	9967
338	5104	9952
339	5119	9938
340	5135	9924
341	5149	9907
342	5162	9888
343	5177	9873
344	5191	9856
345	5206	9840
346	5221	9826
347	5237	9813
348	5251	9795
349	5265	9779
350	5279	9761
351	5294	9747
352	5310	9733
353	5325	9717
354	5342	9707
355	5357	9692
356	5371	9675
357	5387	9660
358	5402	9647
359	5419	9633
360	5435	9620
361	5451	9608
362	5466	9592
363	5483	9580
364	5500	9568
365	5514	9551
366	5531	9540
367	5545	9524
368	5562	9511
369	5576	9495
370	5590	9478
371	5605	9463
372	5620	9447
373	5635	9432
374	5651	9419
375	5668	9406
376	5684	9394
377	5700	9380
378	5716	9367
379	5732	9352
380	5747	9337
381	5763	9323
382	5779	9310
383	5793	9293
384	5807	9277
385	5822	9261
386	5838	9248
387	5852	9231
388	5866	9215
389	5880	9197
390	5895	9182
391	5908	9164
392	5922	9147
393	5937	9131
394	5953	9118
395	5969	9105
396	5984	9090
397	5997	9072
398	6012	9056
399	6028	9043
400	6044	9028
401	6059	9013
402	6077	9002
403	6095	8991
404	6109	8975
405	6125	8961
406	6140	8946
407	6154	8929
408	6167	8912
409	6183	8897
410	6197	8882
411	6211	8864
412	6226	8849
413	6241	8834
414	6255	8818
415	6270	8802
416	6286	8788
417	6299	8771
418	6314	8755
419	6329	8740
420	6343	8723
421	6357	8707
422	6370	8690
423	6384	8673
424	6398	8657
425	6412	8640
426	6426	8624
427	6441	8608
428	6455	8592
429	6470	8577
430	6484	8560
431	6498	8544
432	6512	8528
433	6527	8512
434	6542	8498
435	6557	8482
436	6571	8466
437	6591	8457
438	6606	8442
439	6621	8427
440	6635	8410
441	6648	8393
442	6662	8377
443	6678	8363
444	6693	8347
445	6707	8331
446	6721	8315
447	6736	8300
448	6752	8287
449	6767	8271
450	6783	8256
451	6797	8241
452	6811	8225
453	6827	8210
454	6842	8196
455	6856	8179
456	6872	8166
457	6887	8151
458	6903	8136
459	6918	8121
460	6933	8106
461	6948	8091
462	6963	8076
463	6980	8063
464	6995	8048
465	7011	8034
466	7025	8018
467	7042	8005
468	7058	7991
469	7072	7975
470	7086	7959
471	7100	7943
472	7114	7926
473	7128	7910
474	7142	7894
475	7156	7877
476	7169	7861
477	7183	7844
478	7198	7829
479	7213	7814
480	7228	7799
481	7242	7783
482	7257	7768
483	7272	7753
484	7286	7737
485	7302	7722
486	7316	7707
487	7332	7692
488	7347	7677
489	7363	7663
490	7381	7651
491	7397	7637
492	7412	7622
493	7426	7606
494	7440	7590
495	7457	7577
496	7475	7565
497	7492	7552
498	7508	7538
499	7523	7523
500	7542	7512
501	7559	7499
502	7581	7490
503	7596	7475
504	7613	7462
505	7627	7446
506	7642	7431
507	7659	7418
508	7675	7404
509	7690	7388
510	7705	7373
511	7720	7358
512	7735	7343
513	7750	7328
514	7763	7311
515	7778	7296
516	7794	7282
517	7808	7265
518	7824	7251
519	7840	7237
520	7858	7225
521	7877	7213
522	7895	7200
523	7911	7187
524	7927	7172
525	7943	7158
526	7957	7142
527	7972	7127
528	7989	7113
529	8002	7096
530	8018	7082
531	8036	7069
532	8052	7054
533	8068	7041
534	8085	7027
535	8103	7014
536	8120	7001
537	8136	6986
538	8151	6972
539	8168	6958
540	8186	6945
541	8203	6932
542	8222	6920
543	8237	6904
544	8251	6888
545	8266	6873
546	8281	6858
547	8296	6843
548	8311	6827
549	8327	6813
550	8342	6798
551	8356	6782
552	8372	6767
553	8386	6751
554	8401	6736
555	8417	6721
556	8430	6705
557	8445	6690
558	8461	6675
559	8477	6660
560	8495	6648
561	8510	6633
562	8525	6617
563	8540	6602
564	8555	6587
565	8571	6572
566	8587	6558
567	8602	6542
568	8616	6526
569	8630	6510
570	8644	6495
571	8659	6479
572	8674	6464
573	8691	6450
574	8706	6435
575	8722	6420
576	8737	6405
577	8753	6391
578	8767	6374
579	8782	6360
580	8798	6345
581	8814	6330
582	8828	6314
583	8842	6298
584	8856	6283
585	8872	6268
586	8887	6253
587	8901	6236
588	8915	6221
589	8931	6206
590	8945	6190
591	8960	6175
592	8976	6160
593	8992	6146
594	9007	6130
595	9021	6114
596	9035	6099
597	9050	6084
598	9064	6068
599	9078	6052
600	9093	6036
601	9106	6020
602	9122	6005
603	9139	5992
604	9156	5977
605	9170	5962
606	9184	5946
607	9199	5931
608	9212	5915
609	9228	5899
610	9244	5885
611	9259	5870
612	9274	5855
613	9287	5838
614	9302	5823
615	9316	5807
616	9330	5791
617	9345	5776
618	9360	5761
619	9376	5746
620	9391	5731
621	9405	5716
622	9421	5701
623	9435	5685
624	9449	5669
625	9464	5654
626	9478	5638
627	9491	5622
628	9505	5606
629	9519	5590
630	9534	5575
631	9547	5559
632	9563	5544
633	9577	5528
634	9592	5513
635	9606	5497
636	9619	5481
637	9633	5465
638	9651	5452
639	9664	5436
640	9681	5422
641	9694	5405
642	9710	5391
643	9724	5375
644	9739	5360
645	9754	5345
646	9769	5330
647	9783	5314
648	9799	5299
649	9812	5283
650	9826	5268
651	9843	5253
652	9858	5238
653	9872	5223
654	9887	5207
655	9900	5191
656	9917	5177
657	9931	5161
658	9948	5147
659	9961	5131
660	9976	5116
661	9992	5101
662	10007	5087
663	10023	5072
664	10047	5061
665	10065	5047
666	10084	5034
667	10099	5019
668	10118	5006
669	10135	4992
670	10150	4976
671	10164	4961
672	10180	4946
673	10194	4930
674	10210	4916
675	10224	4900
676	10240	4886
677	10257	4871
678	10273	4856
679	10287	4840
680	10301	4825
681	10315	4809
682	10330	4794
683	10343	4778
684	10360	4764
685	10374	4748
686	10390	4733
687	10406	4719
688	10421	4704
689	10437	4689
690	10453	4674
691	10469	4659
692	10483	4644
693	10500	4630
694	10515	4614
695	10531	4599
696	10545	4584
697	10560	4569
698	10576	4554
699	10591	4539
700	10606	4523
701	10620	4508
702	10637	4493
703	10653	4479
704	10668	4464
705	10683	4449
706	10699	4434
707	10714	4418
708	10729	4403
709	10743	4388
710	10759	4373
711	10774	4358
712	10788	4342
713	10803	4327
714	10818	4312
715	10833	4296
716	10848	4281
717	10863	4266
718	10877	4251
719	10892	4236
720	10907	4220
721	10923	4206
722	10939	4191
723	10953	4175
724	10969	4160
725	10984	4145
726	10998	4129
727	11012	4114
728	11026	4099
729	11039	4083
730	11053	4067
731	11066	4051
732	11081	4036
733	11094	4020
734	11108	4004
735	11122	3989
736	11137	3974
737	11155	3960
738	11170	3945
739	11185	3930
740	11201	3915
741	11217	3900
742	11232	3885
743	11246	3869
744	11261	3854
745	11276	3839
746	11291	3824
747	11305	3808
748	11321	3793
749	11337	3779
750	11351	3763
751	11365	3748
752	11380	3733
753	11395	3717
754	11411	3702
755	11424	3687
756	11440	3672
757	11453	3656
758	11468	3641
759	11482	3626
760	11497	3610
761	11513	3596
762	11526	3580
763	11541	3565
764	11555	3549
765	11570	3534
766	11585	3519
767	11601	3504
768	11616	3489
769	11629	3473
770	11644	3458
771	11660	3443
772	11675	3428
773	11690	3413
774	11706	3398
775	11720	3383
776	11735	3368
777	11750	3353
778	11766	3338
779	11783	3323
780	11799	3308
781	11815	3293
782	11829	3278
783	11846	3263
784	11860	3248
785	11874	3233
786	11888	3217
787	11903	3202
788	11918	3187
789	11935	3172
790	11949	3157
791	11963	3141
792	11978	3126
793	11992	3111
794	12008	3096
795	12023	3081
796	12038	3066
797	12053	3051
798	12069	3036
799	12084	3021
800	12100	3006
801	12116	2991
802	12133	2976
803	12151	2962
804	12166	2947
805	12182	2932
806	12197	2917
807	12213	2902
808	12230	2887
809	12246	2872
810	12263	2858
811	12279	2842
812	12295	2828
813	12311	2813
814	12326	2798
815	12342	2783
816	12357	2767
817	12372	2752
818	12386	2737
819	12404	2722
820	12419	2707
821	12434	2692
822	12448	2677
823	12463	2662
824	12478	2647
825	12493	2631
826	12510	2617
827	12525	2601
828	12542	2587
829	12555	2571
830	12570	2556
831	12584	2541
832	12599	2525
833	12614	2510
834	12629	2495
835	12649	2481
836	12667	2466
837	12684	2452
838	12698	2436
839	12714	2421
840	12729	2406
841	12743	2391
842	12759	2376
843	12773	2361
844	12789	2346
845	12806	2331
846	12823	2316
847	12838	2301
848	12853	2286
849	12867	2270
850	12882	2255
851	12898	2240
852	12915	2225
853	12930	2210
854	12944	2195
855	12960	2180
856	12975	2165
857	12990	2149
858	13008	2135
859	13023	2120
860	13038	2104
861	13053	2089
862	13070	2074
863	13085	2059
864	13099	2044
865	13114	2029
866	13130	2014
867	13143	1998
868	13159	1983
869	13174	1968
870	13190	1953
871	13205	1938
872	13220	1923
873	13236	1908
874	13253	1893
875	13269	1878
876	13284	1863
877	13298	1847
878	13314	1832
879	13328	1817
880	13343	1802
881	13358	1787
882	13373	1772
883	13390	1757
884	13404	1741
885	13420	1726
886	13437	1711
887	13452	1696
888	13468	1681
889	13482	1666
890	13499	1651
891	13512	1636
892	13526	1620
893	13540	1605
894	13556	1590
895	13570	1575
896	13584	1559
897	13599	1544
898	13615	1529
899	13628	1514
900	13641	1498
901	13658	1483
902	13679	1469
903	13693	1454
904	13708	1439
905	13723	1423
906	13739	1408
907	13755	1393
908	13770	1378
909	13786	1363
910	13800	1348
911	13814	1333
912	13829	1317
913	13844	1302
914	13859	1287
915	13874	1272
916	13889	1257
917	13904	1241
918	13919	1226
919	13934	1211
920	13950	1196
921	13964	1181
922	13979	1166
923	13993	1150
924	14008	1135
925	14024	1120
926	14040	1105
927	14055	1090
928	14072	1075
929	14087	1060
930	14102	1045
931	14116	1029
932	14132	1014
933	14147	999
934	14163	984
935	14181	969
936	14198	954
937	14213	939
938	14229	924
939	14245	909
940	14260	894
941	14275	878
942	14290	863
943	14306	848
944	14321	833
945	14336	818
946	14352	803
947	14366	788
948	14382	772
949	14398	757
950	14412	742
951	14428	727
952	14444	712
953	14461	697
954	14478	682
955	14497	667
956	14514	652
957	14531	637
958	14546	621
959	14561	606
960	14577	591
961	14593	576
962	14608	561
963	14622	546
964	14637	530
965	14654	515
966	14669	500
967	14684	485
968	14699	470
969	14714	455
970	14729	439
971	14744	424
972	14759	409
973	14773	394
974	14789	379
975	14803	364
976	14818	348
977	14833	333
978	14848	318
979	14863	303
980	14879	288
981	14895	273
982	14908	257
983	14924	242
984	14939	227
985	14954	212
986	14969	197
987	14983	181
988	14998	166
989	15013	151
990	15028	136
991	15042	121
992	15058	106
993	15074	90
994	15089	75
995	15104	60
996	15118	45
997	15134	30
998	15150	15
999	15164	0
